CID,unique_key,agency,agency_name,complaint_type,status,city,borough,incident_zip,latitude,longitude,Created_Year,Created_Month,Created_Month_Number,Created_Day,Created_Date,Closed_Year,Closed_Month,Closed_Month_Number,Closed_Day,Closed_Date,state
479,40139314,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Forest_Hills,Queens,11375,40.71308528,-73.84850642,2018,August,8,29,2018-08-29,2019,August,8,2,2019-08-02,NY
480,45887222,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_Hyde_Park,Queens,11040,40.74648986,-73.70143666,2020,March,3,24,2020-03-24,2020,March,3,25,2020-03-25,NY
481,45892467,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Whitestone,Queens,11357,40.79095128,-73.82176027,2020,March,3,25,2020-03-25,2020,March,3,26,2020-03-26,NY
482,45902568,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Fresh_Meadows,Queens,11365,40.74768154,-73.78690803,2020,March,3,27,2020-03-27,2020,March,3,30,2020-03-30,NY
483,43324541,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11228,40.61158668,-74.0081686,2019,July,7,19,2019-07-19,2020,March,3,20,2020-03-20,NY
484,45909032,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10458,40.86104388,-73.8934677,2020,March,3,28,2020-03-28,2020,April,4,7,2020-04-07,NY
485,45938344,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Richmond_Hill,Queens,11418,40.70144465,-73.83642573,2020,April,4,3,2020-04-03,2020,June,6,4,2020-06-04,NY
486,39489637,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Ridgewood,Queens,11385,40.70162599,-73.89857686,2018,June,6,17,2018-06-17,2020,March,3,20,2020-03-20,NY
487,39493319,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11238,40.68559323,-73.96935899,2018,June,6,18,2018-06-18,2020,February,2,13,2020-02-13,NY
488,45955251,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10032,40.8387577,-73.94034413,2020,April,4,6,2020-04-06,2021,March,3,4,2021-03-04,NY
489,45961220,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10312,40.53975618,-74.17527795,2020,April,4,7,2020-04-07,2020,November,11,16,2020-11-16,NY
490,45965948,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11231,40.67670698,-74.00087246,2020,April,4,8,2020-04-08,2020,April,4,9,2020-04-09,NY
491,45971464,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10312,40.53953005,-74.19140989,2020,April,4,9,2020-04-09,2020,April,4,15,2020-04-15,NY
492,43328970,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10305,40.61344464,-74.06741805,2019,July,7,19,2019-07-19,2019,July,7,23,2019-07-23,NY
493,45991414,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Oakland_Gardens,Queens,11364,40.74334487,-73.75388685,2020,April,4,13,2020-04-13,2020,April,4,16,2020-04-16,NY
494,45992861,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11231,40.67507606,-74.01103522,2020,April,4,13,2020-04-13,2020,April,4,15,2020-04-15,NY
495,45993592,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Jamaica,Queens,11433,40.69685883,-73.77225221,2020,April,4,13,2020-04-13,2020,April,4,16,2020-04-16,NY
496,45994256,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Saint_Albans,Queens,11412,40.70420202,-73.76053423,2020,April,4,13,2020-04-13,2021,May,5,19,2021-05-19,NY
497,45994783,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_Hyde_Park,Queens,11040,40.749653,-73.70401747,2020,April,4,13,2020-04-13,2020,April,4,13,2020-04-13,NY
498,46002598,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11226,40.63808254,-73.96479045,2020,April,4,14,2020-04-14,2020,May,5,20,2020-05-20,NY
499,46008468,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10461,40.84873621,-73.84678058,2020,April,4,15,2020-04-15,2020,April,4,29,2020-04-29,NY
500,46015418,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10309,40.53952493,-74.20239396,2020,April,4,17,2020-04-17,2021,August,8,5,2021-08-05,NY
501,46017885,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10304,40.6008519,-74.0942047,2020,April,4,17,2020-04-17,2020,July,7,13,2020-07-13,NY
502,46018524,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bellerose,Queens,11426,40.73278415,-73.71843879,2020,April,4,17,2020-04-17,2020,May,5,1,2020-05-01,NY
503,46018528,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Oakland_Gardens,Queens,11364,40.73779151,-73.75227631,2020,April,4,17,2020-04-17,2020,May,5,21,2020-05-21,NY
504,46019107,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Forest_Hills,Queens,11375,40.71302743,-73.84835144,2020,April,4,17,2020-04-17,2020,April,4,20,2020-04-20,NY
505,46019655,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10302,40.62715431,-74.1385384,2020,April,4,17,2020-04-17,2020,April,4,17,2020-04-17,NY
506,46019732,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Little_Neck,Queens,11363,40.77193688,-73.74376604,2020,April,4,17,2020-04-17,2020,April,4,21,2020-04-21,NY
507,42929862,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Woodside,Queens,11377,40.74860364,-73.8998407,2019,June,6,10,2019-06-10,2019,October,10,1,2019-10-01,NY
508,46022046,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10465,40.83857724,-73.82141945,2020,April,4,18,2020-04-18,2021,May,5,12,2021-05-12,NY
509,46027663,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Howard_Beach,Queens,11414,40.65817226,-73.84161736,2020,April,4,19,2020-04-19,2020,December,12,23,2020-12-23,NY
510,46029895,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10308,40.55137139,-74.13989621,2020,April,4,19,2020-04-19,2020,June,6,8,2020-06-08,NY
511,45790538,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10465,40.81978752,-73.80650141,2020,March,3,11,2020-03-11,2020,March,3,13,2020-03-13,NY
512,46032085,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Whitestone,Queens,11357,40.78929086,-73.82544463,2020,April,4,20,2020-04-20,2020,April,4,30,2020-04-30,NY
513,46032107,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Saint_Albans,Queens,11412,40.70420202,-73.76053423,2020,April,4,20,2020-04-20,2020,April,4,21,2020-04-21,NY
514,46032869,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Sunnyside,Queens,11104,40.74704152,-73.92457914,2020,April,4,20,2020-04-20,2020,December,12,21,2020-12-21,NY
515,46034204,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10306,40.56273679,-74.10154339,2020,April,4,20,2020-04-20,2020,April,4,20,2020-04-20,NY
516,46035133,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Astoria,Queens,11105,40.77536157,-73.9056423,2020,April,4,20,2020-04-20,2020,April,4,28,2020-04-28,NY
517,39673641,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Fresh_Meadows,Queens,11365,40.73923184,-73.78618808,2018,July,7,7,2018-07-07,2020,February,2,19,2020-02-19,NY
518,46038917,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Flushing,Queens,11358,40.77068636,-73.79973399,2020,April,4,21,2020-04-21,2020,April,4,21,2020-04-21,NY
519,46042226,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Whitestone,Queens,11357,40.78841572,-73.8067876,2020,April,4,21,2020-04-21,2020,August,8,30,2020-08-30,NY
520,46042227,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bayside,Queens,11361,40.76652796,-73.76347977,2020,April,4,21,2020-04-21,2020,April,4,23,2020-04-23,NY
521,46042277,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11216,40.67889745,-73.94407441,2020,April,4,21,2020-04-21,2020,December,12,23,2020-12-23,NY
522,46041352,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Fresh_Meadows,Queens,11365,40.73449653,-73.80117062,2020,April,4,21,2020-04-21,2020,April,4,22,2020-04-22,NY
523,46041353,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11230,40.61458276,-73.9686388,2020,April,4,21,2020-04-21,2020,April,4,23,2020-04-23,NY
524,46041482,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Astoria,Queens,11105,40.77354466,-73.90919394,2020,April,4,22,2020-04-22,2020,April,4,27,2020-04-27,NY
525,46043025,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10019,40.76245268,-73.98846297,2020,April,4,21,2020-04-21,2020,April,4,22,2020-04-22,NY
526,46043033,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Flushing,Queens,11358,40.77067538,-73.79973402,2020,April,4,21,2020-04-21,2020,May,5,19,2020-05-19,NY
527,37743207,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Fresh_Meadows,Queens,11366,40.72807599,-73.79460882,2017,November,11,20,2017-11-20,2019,June,6,13,2019-06-13,NY
528,39043774,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Jamaica,Queens,11435,40.71614795,-73.81786238,2018,April,4,27,2018-04-27,2019,June,6,14,2019-06-14,NY
529,39774374,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,In Progress,Flushing,Queens,11354,40.76809008,-73.82517889,2018,July,7,20,2018-07-20,2019,June,6,21,2019-06-21,NY
530,46044711,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11205,40.69081203,-73.97335199,2020,April,4,22,2020-04-22,2020,April,4,29,2020-04-29,NY
531,46044712,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10024,40.79268144,-73.97675656,2020,April,4,22,2020-04-22,2020,April,4,23,2020-04-23,NY
532,42799895,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Little_Neck,Queens,11363,40.77564551,-73.74397923,2019,May,5,28,2019-05-28,2019,June,6,27,2019-06-27,NY
533,46043999,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Whitestone,Queens,11357,40.79083141,-73.80698283,2020,April,4,22,2020-04-22,2020,June,6,17,2020-06-17,NY
534,46044000,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11215,40.66684104,-73.98322752,2020,April,4,22,2020-04-22,2020,April,4,23,2020-04-23,NY
535,46046927,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10302,40.6196667,-74.14287061,2020,April,4,22,2020-04-22,2020,November,11,19,2020-11-19,NY
536,46045515,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Oakland_Gardens,Queens,11364,40.75065362,-73.77792604,2020,April,4,22,2020-04-22,2020,April,4,23,2020-04-23,NY
537,46046134,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,College_Point,Queens,11356,40.79083149,-73.84524178,2020,April,4,22,2020-04-22,2020,June,6,23,2020-06-23,NY
538,46046136,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Whitestone,Queens,11357,40.78520653,-73.80643942,2020,April,4,22,2020-04-22,2020,May,5,19,2020-05-19,NY
539,46046314,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10461,40.84042309,-73.82775719,2020,April,4,22,2020-04-22,2020,October,10,21,2020-10-21,NY
540,46048622,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11206,40.69257353,-73.94753557,2020,April,4,22,2020-04-22,2020,May,5,12,2020-05-12,NY
541,46051096,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10312,40.54156355,-74.16705427,2020,April,4,23,2020-04-23,2020,May,5,9,2020-05-09,NY
542,46049334,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11215,40.65786221,-73.97917508,2020,April,4,22,2020-04-22,2020,June,6,4,2020-06-04,NY
543,46049479,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Oakland_Gardens,Queens,11364,40.73542727,-73.75957765,2020,April,4,22,2020-04-22,2020,April,4,30,2020-04-30,NY
544,46049997,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10014,40.72846222,-74.00393271,2020,April,4,22,2020-04-22,2020,April,4,22,2020-04-22,NY
545,46050276,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10014,40.73131952,-74.0036334,2020,April,4,23,2020-04-23,2020,April,4,28,2020-04-28,NY
546,46051005,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10014,40.73313111,-74.00050155,2020,April,4,23,2020-04-23,2020,June,6,16,2020-06-16,NY
547,46051006,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Far_Rockaway,Queens,11691,40.60525322,-73.76230087,2020,April,4,23,2020-04-23,2020,April,4,27,2020-04-27,NY
548,46051038,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10016,40.74695963,-73.97705041,2020,April,4,23,2020-04-23,2020,April,4,28,2020-04-28,NY
549,43679640,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11207,40.67957777,-73.89018829,2019,August,8,30,2019-08-30,2020,April,4,20,2020-04-20,NY
550,46054716,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10016,40.74695963,-73.97705041,2020,April,4,23,2020-04-23,2020,April,4,28,2020-04-28,NY
551,46055465,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Little_Neck,Queens,11363,40.77546865,-73.7522192,2020,April,4,23,2020-04-23,2020,April,4,24,2020-04-24,NY
552,46056411,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10014,40.734476,-74.00304542,2020,April,4,23,2020-04-23,2020,April,4,28,2020-04-28,NY
553,46064212,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,South_Ozone_Park,Queens,11420,40.67674451,-73.81646663,2020,April,4,25,2020-04-25,2020,May,5,8,2020-05-08,NY
554,46064242,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10463,40.88208294,-73.89756746,2020,April,4,25,2020-04-25,2020,May,5,5,2020-05-05,NY
555,46065065,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Maspeth,Queens,11378,40.7142662,-73.90569993,2020,April,4,25,2020-04-25,2020,April,4,27,2020-04-27,NY
556,46065078,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11222,40.71976258,-73.94066709,2020,April,4,25,2020-04-25,2020,April,4,27,2020-04-27,NY
557,46065877,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Whitestone,Queens,11357,40.78841572,-73.8067876,2020,April,4,25,2020-04-25,2020,August,8,30,2020-08-30,NY
558,46068374,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11207,40.69065118,-73.90688002,2020,April,4,25,2020-04-25,2020,December,12,24,2020-12-24,NY
559,43132121,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Floral_Park,Queens,11001,40.73795882,-73.70237702,2019,June,6,27,2019-06-27,2021,February,2,23,2021-02-23,NY
560,46068448,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10463,40.88191018,-73.89775215,2020,April,4,25,2020-04-25,2020,May,5,5,2020-05-05,NY
561,47190907,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11203,40.65538082,-73.93016812,2020,August,8,10,2020-08-10,2021,October,10,1,2021-10-01,NY
562,43725413,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Maspeth,Queens,11378,40.72723745,-73.89866777,2019,September,9,4,2019-09-04,2019,September,9,6,2019-09-06,NY
563,46072667,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10469,40.87664847,-73.85861303,2020,April,4,26,2020-04-26,2020,May,5,8,2020-05-08,NY
564,46075123,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10310,40.63271231,-74.12431159,2020,April,4,27,2020-04-27,2020,May,5,15,2020-05-15,NY
565,46076531,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10075,40.77251226,-73.95519159,2020,April,4,27,2020-04-27,2020,April,4,28,2020-04-28,NY
566,46087529,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10001,40.74745867,-73.99690346,2020,April,4,28,2020-04-28,2020,May,5,1,2020-05-01,NY
567,42826084,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Rockaway_Park,Queens,11694,40.57403184,-73.85081961,2019,May,5,31,2019-05-31,2019,September,9,16,2019-09-16,NY
568,46087815,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Flushing,Queens,11358,40.75489715,-73.79120905,2020,April,4,28,2020-04-28,2020,May,5,5,2020-05-05,NY
569,46087824,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Woodhaven,Queens,11421,40.69216144,-73.86583407,2020,April,4,28,2020-04-28,2020,May,5,6,2020-05-06,NY
570,45893031,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Little_Neck,Queens,11363,40.77401827,-73.75041213,2020,March,3,26,2020-03-26,2020,March,3,26,2020-03-26,NY
571,45718780,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Little_Neck,Queens,11362,40.76535336,-73.72867626,2020,February,2,28,2020-02-28,2020,March,3,4,2020-03-04,NY
572,46088150,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Queens_Village,Queens,11427,40.73329661,-73.73785995,2020,April,4,29,2020-04-29,2020,June,6,3,2020-06-03,NY
573,42856307,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Oakland_Gardens,Queens,11364,40.73511121,-73.75035219,2019,June,6,3,2019-06-03,2019,July,7,9,2019-07-09,NY
574,40052630,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bayside,Queens,11361,40.76744722,-73.76470395,2018,August,8,19,2018-08-19,2020,April,4,24,2020-04-24,NY
575,42859380,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11225,40.66338798,-73.94674391,2019,June,6,3,2019-06-03,2019,July,7,8,2019-07-08,NY
576,42862471,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11218,40.64558023,-73.98514633,2019,June,6,3,2019-06-03,2019,December,12,31,2019-12-31,NY
577,46090030,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10467,40.88562974,-73.86605482,2020,April,4,29,2020-04-29,2020,December,12,24,2020-12-24,NY
578,46090031,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Flushing,Queens,11358,40.76735232,-73.80021333,2020,April,4,29,2020-04-29,2021,April,4,7,2021-04-07,NY
579,40077185,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10459,40.83086932,-73.8884715,2018,August,8,22,2018-08-22,2020,June,6,16,2020-06-16,NY
580,42900291,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11226,40.64699341,-73.94676421,2019,June,6,7,2019-06-07,2019,November,11,27,2019-11-27,NY
581,40114060,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10471,40.90525418,-73.90142789,2018,August,8,26,2018-08-26,2019,July,7,8,2019-07-08,NY
582,42904645,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11219,40.62803879,-73.98962822,2019,June,6,7,2019-06-07,2020,November,11,10,2020-11-10,NY
583,42904648,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11226,40.63938138,-73.95127425,2019,June,6,7,2019-06-07,2020,March,3,19,2020-03-19,NY
584,42906103,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10303,40.63095574,-74.15374259,2019,June,6,7,2019-06-07,2019,December,12,30,2019-12-30,NY
585,46092478,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10306,40.57767271,-74.09991017,2020,April,4,29,2020-04-29,2020,May,5,5,2020-05-05,NY
586,46092523,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10467,40.88562974,-73.86605482,2020,April,4,29,2020-04-29,2020,December,12,24,2020-12-24,NY
587,43048407,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bellerose,Queens,11426,40.73790541,-73.71936979,2019,June,6,21,2019-06-21,2019,June,6,24,2019-06-24,NY
588,42917172,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11209,40.63464892,-74.03483664,2019,June,6,8,2019-06-08,2019,November,11,12,2019-11-12,NY
589,42917173,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11214,40.60021205,-73.98934446,2019,June,6,8,2019-06-08,2019,December,12,20,2019-12-20,NY
590,42917174,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11235,40.59145996,-73.95111839,2019,June,6,8,2019-06-08,2019,August,8,28,2019-08-28,NY
591,46093206,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Oakland_Gardens,Queens,11364,40.74540583,-73.76154459,2020,April,4,30,2020-04-30,2020,May,5,4,2020-05-04,NY
592,42918899,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Cambria_Heights,Queens,11411,40.6931641,-73.74343049,2019,June,6,9,2019-06-09,2019,July,7,12,2019-07-12,NY
593,42925076,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10314,40.60205365,-74.16705797,2019,June,6,10,2019-06-10,2019,December,12,26,2019-12-26,NY
594,40195265,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10312,40.53870178,-74.17731871,2018,September,9,5,2018-09-05,2019,November,11,7,2019-11-07,NY
595,42928681,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Bronx,Bronx,10470,40.89783947,-73.86723112,2019,June,6,10,2019-06-10,2019,July,7,15,2019-07-15,NY
596,40199958,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Ridgewood,Queens,11385,40.70751824,-73.91832267,2018,September,9,5,2018-09-05,2019,June,6,12,2019-06-12,NY
597,42933489,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11201,40.6975496,-73.98351912,2019,June,6,10,2019-06-10,2020,March,3,2,2020-03-02,NY
598,42934816,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10003,40.73161542,-73.98839254,2019,June,6,11,2019-06-11,2019,August,8,23,2019-08-23,NY
599,42944093,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,East_Elmhurst,Queens,11370,40.76051701,-73.88912354,2019,June,6,11,2019-06-11,2019,August,8,21,2019-08-21,NY
600,46094234,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Richmond_Hill,Queens,11418,40.70578794,-73.83717971,2020,May,5,1,2020-05-01,2020,May,5,21,2020-05-21,NY
601,42944095,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10314,40.58712008,-74.15867498,2019,June,6,11,2019-06-11,2020,January,1,8,2020-01-08,NY
602,42944097,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10307,40.50190414,-74.2473424,2019,June,6,11,2019-06-11,2019,December,12,18,2019-12-18,NY
603,42949160,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11215,40.66910924,-73.97393022,2019,June,6,12,2019-06-12,2019,August,8,22,2019-08-22,NY
604,42949161,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11230,40.61808158,-73.96586,2019,June,6,12,2019-06-12,2020,March,3,26,2020-03-26,NY
605,42950456,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Astoria,Queens,11105,40.77345347,-73.91193799,2019,June,6,12,2019-06-12,2020,April,4,3,2020-04-03,NY
606,45834461,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Little_Neck,Queens,11363,40.77250977,-73.7496596,2020,March,3,15,2020-03-15,2020,June,6,1,2020-06-01,NY
607,42951763,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Brooklyn,Brooklyn,11218,40.64341458,-73.9850315,2019,June,6,12,2019-06-12,2019,December,12,12,2019-12-12,NY
608,42957078,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Staten_Island,Staten_Island,10301,40.62418115,-74.09268501,2019,June,6,13,2019-06-13,2019,October,10,14,2019-10-14,NY
609,42960939,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,Flushing,Queens,11354,40.77475971,-73.81288566,2019,June,6,13,2019-06-13,2019,July,7,1,2019-07-01,NY
610,42976426,DPR,Department_of_Parks_and_Recreation,Dead/Dying_Tree,Closed,New_York,Manhattan,10001,40.74602021,-73.99236709,2019,June,6,14,2019-06-14,2019,September,9,18,2019-09-18,NY
